id,category,question,answer,source
43,一卡通,一卡通怎么挂失？,"登录""今日校园""APP→校园卡界面→点击""卡挂失""，输入一卡通交易密码即可线上挂失",校园一卡通使用指南[reference:20]
44,一卡通,一卡通补办需要什么材料？,携带本人有效身份证件（身份证或学生证）前往一卡通服务中心或自助补卡机办理补卡,校园卡补办流程[reference:21]
45,选课,选错了课能退吗？,"可以在规定时间内登录教务管理系统，进入""选课结果""页面找到需退选的课程，点击""退选""即可",教务管理系统功能说明[reference:22]
46,选课,在哪里进行选课？,登录安徽交通职业技术学院教务网络管理系统（jwmis.ahctc.com）进行选课操作,教务处官网[reference:23]
47,宿舍,宿舍熄灯时间是什么时候？,熄灯时间为晚23:30至早06:00，熄灯后应保持宿舍安静，不得大声喧哗,学生宿舍管理规定[reference:24]
48,宿舍,宿舍大门什么时候关闭？,宿舍区严格按学院作息时间开关大门，早6:30开门，晚23:30关门,宿舍管理规定[reference:25]
49,校园生活,学校食堂在哪里？,食堂位置通常需要结合所在校区确认。你可以说明自己所在校区或宿舍区域，我会优先按校园生活设施类问题帮你判断；如果知识库没有具体位置，建议咨询辅导员、宿管或后勤服务部门确认。,校园生活服务信息，具体位置以所在校区实际安排为准
50,校园生活,学校哪里可以吃饭？,校内就餐一般以学生食堂等生活服务区域为主。由于不同校区和宿舍区位置可能不同，建议先说明所在校区；若需要准确路线，以辅导员、宿管或后勤服务部门说明为准。,校园生活服务信息，具体位置以所在校区实际安排为准
51,校园生活,学校有餐厅吗？,学校餐饮服务情况建议按所在校区确认。可以先询问辅导员、宿管或后勤服务部门，也可以结合校园通知和实际导视牌查找学生食堂、餐厅等就餐区域。,校园生活服务信息，具体位置以所在校区实际安排为准
52,校园生活,学校超市在哪里？,校园超市、便利店等生活服务点通常和校区、宿舍区相关。当前知识库没有收录具体点位，建议说明所在校区后再查询，或咨询宿管、辅导员和后勤服务部门。,校园生活服务信息，具体位置以所在校区实际安排为准
53,校园生活,学校快递在哪里取？,快递取件点可能会随校区和合作快递变化而调整。建议查看短信取件地址、快递通知或校园公告；如果不确定，可咨询辅导员、宿管或后勤服务部门。,校园生活服务信息，具体位置以快递通知和学校实际安排为准
54,校园生活,学校哪里可以打印？,打印、复印服务点通常分布在教学楼、图文店或生活服务区域附近，具体位置与校区有关。当前知识库没有准确点位时，建议咨询同学、辅导员或所在楼栋管理人员。,校园生活服务信息，具体位置以所在校区实际安排为准
55,校园生活,校医院或医务室在哪里？,校医院或医务室位置需要按所在校区确认。若身体不适，建议尽快联系辅导员、宿管或同学协助，并按学校实际导视或通知前往就医点；紧急情况应及时拨打急救电话。,校园生活服务信息，具体位置以所在校区实际安排为准
56,宿舍,宿舍可以养宠物吗？,不可以。宿舍内禁止饲养或携带宠物进入，违反规定将按学校相关条例处理。,学生宿舍管理规定
57,宿舍,宿舍可以使用电煮锅吗？,不可以。宿舍禁止使用电煮锅、热得快、电暖器等大功率违规电器，存在火灾隐患，违反者将受到处分。,学生宿舍安全管理规定
58,宿舍,宿舍水管漏水怎么报修？,发现水管漏水应立即关闭水阀，通过“网上办事大厅”→“后勤服务”提交报修申请，或联系宿管人员登记，维修人员会尽快到场处理。,宿舍管理规定
59,宿舍,宿舍走廊堆放物品可以吗？,不可以。宿舍公共区域（走廊、楼梯间）禁止堆放个人物品，以免影响通行和消防安全，请将物品收纳在宿舍内。,宿舍文明管理规定
60,宿舍,室友作息不一致怎么办？,建议开学第一周与室友协商制定宿舍公约，明确熄灯时间、安静时段等规则。如矛盾无法调和，可向辅导员申请调换宿舍。,学生宿舍管理规定
61,宿舍,宿舍空调遥控器丢了怎么办？,空调遥控器丢失可向宿管登记借用备用遥控器，或自行购买通用遥控器（需匹配空调型号）。建议与室友共用并妥善保管。,学生宿舍空调使用管理暂行规定
62,宿舍,宿舍里可以用插排吗？,可以使用符合国家标准的合格插排，但严禁私拉乱接电线、串联多个插排，离开宿舍时应拔掉插头、关闭电源。,宿舍用电安全规定
63,宿舍,宿舍窗纱坏了怎么报修？,窗纱损坏可通过“网上办事大厅”后勤报修渠道提交维修申请，填写具体宿舍号和损坏情况，后勤部门会安排更换。,宿舍管理规定
64,安全,校园里发生交通事故怎么办？,发生交通事故应立即拨打报警电话，如有受伤及时就医并联系辅导员，保护好现场等待交警处理。夜间出行建议结伴，遵守交通规则。,校园安全指南[citation:2][citation:3]
65,安全,遇到陌生人进宿舍推销怎么办？,不要轻信陌生人推销，拒绝购买来路不明的商品。推销人员混入宿舍时可联系宿管或拨打保卫处电话，切勿随意透露个人信息。,校园安全指南[citation:3]
66,安全,在食堂丢了东西怎么办？,可先返回就餐窗口或座位寻找，若未找到可到食堂服务台登记失物信息，或查看食堂失物招领处。建议贵重物品随身携带。,校园安全指南[citation:2]
67,安全,接到自称辅导员的收费通知怎么办？,凡是涉及转账、缴费的通知，一律通过学校官方渠道核实，不要轻信短信或电话。正规收费会通过学校官网或公众号发布，私下转账一律拒绝。,新生防骗指南[citation:6][citation:8]
68,安全,遇到网络诈骗怎么办？,立即停止交易，保存聊天记录和转账凭证，第一时间联系辅导员并向学校保卫处报案，必要时拨打110报警。记住：任何“刷单”“校园贷”都是陷阱。,新生防骗指南[citation:6]
69,安全,校园里有哪些地方需要注意安全？,夜间尽量结伴出行，避免前往偏僻路段。不擅自进入施工区域、未开放的楼宇或危险地带。体育馆运动前做好热身。,校园安全指南[citation:2]
70,学业,体测不及格会怎么样？,体测成绩与评优评奖挂钩，不及格可能影响奖学金评定和毕业。建议下载运动APP坚持锻炼，体测前针对性练习800米、立定跳远等项目。,体育测试管理规定[citation:8]
71,学业,英语四六级什么时候报名？,四六级报名通常在每年3月和9月，具体时间以教务处通知为准。建议大一、大二尽早通过，避免大三与实习、专业课冲突。,教务处通知[citation:8]
72,学业,选修课没选上怎么办？,选课未成功可在补选阶段（开学第一周）登录教务系统查看剩余名额进行补选。如仍无法选上，可向教务处咨询是否有退课释放的名额。,教务系统选课说明
73,学业,怎么查空教室上自习？,登录教务系统可查询空教室信息，图书馆研讨室需提前3天预约。期末复习建议提前占位，部分教学楼有通宵自习室可向教务处咨询。,教务系统功能说明[citation:8]
74,学业,专业培养方案在哪里看？,登录学校官网教务处页面，下载本专业的培养方案，仔细核对核心课程和学分要求，避免漏修必修课影响毕业。,教务处官网[citation:8]
75,校园生活,校医院能看什么病？,校医院提供常见病诊疗和基础医疗服务，感冒、发烧、肠胃炎等可到校医院就诊。需携带校园卡和医保卡，部分药品有医保优惠。,校医院服务指南
76,校园生活,怎么办理学生证？,新生入学后由学校统一办理学生证，需按要求提交照片和相关信息。学生证遗失可到学生处或教务处申请补办，需缴纳工本费。,学生证管理规定
77,校园生活,快递在哪里取？,学校设有快递服务中心或驿站，具体位置可查看学校地图。需凭取件码或身份码取件，建议下载快递APP提前获取取件信息。,校园生活指南
78,校园生活,学校附近有银行吗？,学校周边通常有主流银行网点或ATM机。具体位置可在地图APP搜索或咨询学长学姐，建议就近办理业务。,校园周边信息
79,校园生活,学生公交卡怎么办理？,学生公交卡通常在开学初由班级统一办理，需提交照片和身份信息。具体流程咨询辅导员或查看学工处通知。,学生公交卡办理说明
80,校园生活,校园卡怎么充值？,校园卡可通过“今日校园”APP线上充值，也可到一卡通服务中心人工充值。建议设置自动充值，避免卡内余额不足影响使用。,校园一卡通使用指南
81,社团,怎么加入社团？,每年开学季学校会组织社团招新（“百团大战”），可到现场了解各社团情况并报名。建议不要报太多，保留1-2个真正感兴趣的即可。,社团招新公告[citation:4][citation:8]
82,社团,参加社团活动能加学分吗？,部分社团活动可计入素质拓展学分或第二课堂成绩，具体以学校规定为准。建议参加前咨询辅导员或社团负责人确认。,第二课堂管理规定
83,社团,社团活动可以请假吗？,如有特殊情况无法参加社团活动，应提前向社团负责人请假说明原因。无故缺席多次可能影响社团成员资格。,社团管理制度
84,请假,体育课受伤了怎么请假？,体育课受伤需及时就医，保留医院证明。凭证明向辅导员和体育老师提交请假申请，体育课缺勤可通过申请办理免修或补修。,学生请假操作手册
85,请假,周末想回家怎么请假？,周末回家需向辅导员报备，说明离校和返校时间。请假流程通过“今日校园”APP提交申请，获得批准后方可离校，返校后及时销假。,学生请假操作手册
86,请假,补办请假手续来得及吗？,特殊情况可先电话联系辅导员说明，回校后及时补办请假手续。补办需提交书面说明和相关证明材料，经辅导员和院系审批即可。,学生请假操作手册
